"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 15 22:56:44 GMT 2025","Wed Oct 15 22:56:44 GMT 2025","1","","AlbumSuite","","","","[GetAllTracks (service)] Success",""
"passed","Wed Oct 15 22:56:53 GMT 2025","Wed Oct 15 22:56:53 GMT 2025","28","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Not Found",""
"passed","Wed Oct 15 22:57:03 GMT 2025","Wed Oct 15 22:57:03 GMT 2025","4","","E2ESuite","","","","[SearchTrack (e2e)] Success",""
"passed","Wed Oct 15 22:56:43 GMT 2025","Wed Oct 15 22:56:43 GMT 2025","6","","AlbumRepoSuite","","","","[GetAlbum (repo)] Success",""
"passed","Wed Oct 15 22:56:53 GMT 2025","Wed Oct 15 22:56:53 GMT 2025","2","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Not Found",""
"passed","Wed Oct 15 22:56:44 GMT 2025","Wed Oct 15 22:56:44 GMT 2025","5","","TrackSuite","","","","[GetTrack (service)] Success",""
"passed","Wed Oct 15 22:56:44 GMT 2025","Wed Oct 15 22:56:44 GMT 2025","1","","AlbumSuite","","","","[GetAlbum (service)] Error from repository",""
"passed","Wed Oct 15 22:56:43 GMT 2025","Wed Oct 15 22:56:43 GMT 2025","9","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Success",""
"passed","Wed Oct 15 22:56:53 GMT 2025","Wed Oct 15 22:56:53 GMT 2025","28","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Success",""
"passed","Wed Oct 15 22:56:53 GMT 2025","Wed Oct 15 22:56:53 GMT 2025","20","","TrackIntegrationSuite","","","","[GetTrack (integration)] Success",""
"passed","Wed Oct 15 22:56:53 GMT 2025","Wed Oct 15 22:56:53 GMT 2025","5","","TrackIntegrationSuite","","","","[GetTrack (integration)] Not Found",""
"passed","Wed Oct 15 22:56:53 GMT 2025","Wed Oct 15 22:56:53 GMT 2025","28","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Success",""
"passed","Wed Oct 15 22:56:53 GMT 2025","Wed Oct 15 22:56:53 GMT 2025","25","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Not Found",""
"passed","Wed Oct 15 22:56:44 GMT 2025","Wed Oct 15 22:56:44 GMT 2025","5","","TrackSuite","","","","[GetTracksByPartName (service)] Error from db",""
"passed","Wed Oct 15 22:56:44 GMT 2025","Wed Oct 15 22:56:44 GMT 2025","1","","AlbumSuite","","","","[GetAllTracks (service)] Error from repository",""
"passed","Wed Oct 15 22:56:43 GMT 2025","Wed Oct 15 22:56:43 GMT 2025","7","","TrackRepoSuite","","","","[GetTrack (repo)] Error from db",""
"passed","Wed Oct 15 22:56:43 GMT 2025","Wed Oct 15 22:56:43 GMT 2025","5","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Success",""
"passed","Wed Oct 15 22:56:43 GMT 2025","Wed Oct 15 22:56:43 GMT 2025","5","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Error from db",""
"passed","Wed Oct 15 22:56:53 GMT 2025","Wed Oct 15 22:56:53 GMT 2025","26","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Success",""
"passed","Wed Oct 15 22:56:43 GMT 2025","Wed Oct 15 22:56:43 GMT 2025","9","","AlbumRepoSuite","","","","[GetAlbum (repo)] Error from db",""
"passed","Wed Oct 15 22:56:43 GMT 2025","Wed Oct 15 22:56:43 GMT 2025","10","","TrackRepoSuite","","","","[GetTrack (repo)] Success",""
"passed","Wed Oct 15 22:56:43 GMT 2025","Wed Oct 15 22:56:43 GMT 2025","10","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Error from db",""
"passed","Wed Oct 15 22:56:44 GMT 2025","Wed Oct 15 22:56:44 GMT 2025","6","","TrackSuite","","","","[GetTrack (service)] Error from db",""
"passed","Wed Oct 15 22:56:44 GMT 2025","Wed Oct 15 22:56:44 GMT 2025","5","","TrackSuite","","","","[GetTracksByPartName (service)] Success",""
"passed","Wed Oct 15 22:56:44 GMT 2025","Wed Oct 15 22:56:44 GMT 2025","1","","AlbumSuite","","","","[GetAlbum (service)] Success",""
